"---PBT Bankroll Export---"
id,starttime,endtime,breakminutes,playingminutes,variant,game,limit,tablesize,location,type,currency,exchangerate,buyin,cashout,netprofit,grossprofit,rebuys,rebuycosts,addoncosts,bounties,bountycosts,smallblind,bigblind,3rdblind,ante,expenses,expensesfromstack,handsperhour,place,player,itm,mttname,startstack,private,casinoid,staking,stakingpercent,sharesincomings,sharesoutgoings,stakingplayer,sessionnote,tags,notes,chipgraph,updatetimes
6948120,"2025-01-03 17:00:00","2025-01-04 00:52:00",0,472,"Cash Game","Texas Holdem","No Limit",Full-Ring,Playground,Casino,CAD,1,1500,715,-785,-785,0,0,,,,2,5,0,0,0,0,25,,,,,,no,,no,0,0,0,,"JJ i called down on TT9xx board vs an aggressive player he had TT quads",,[],[],[]
6882851,"2024-12-23 18:20:00","2024-12-24 00:50:00",0,390,"Cash Game","Texas Holdem","No Limit",Full-Ring,Playground,Casino,CAD,1,750,475,-275,-275,0,0,,,,2,5,0,0,0,0,25,,,,,,no,,no,0,0,0,,"cards dead as fk, got max value with set of As",,[],[],[]
6865687,"2024-12-20 19:15:00","2024-12-21 01:54:00",0,399,"Cash Game","Texas Holdem","No Limit",Full-Ring,Playground,Casino,CAD,1,750,2660,1910,1910,0,0,,,,2,5,0,0,0,0,25,,,,,,no,,no,0,0,0,,,,[],[],[]
6805155,"2024-12-11 19:57:00","2024-12-12 06:14:00",0,617,"Cash Game","Texas Holdem","No Limit",Full-Ring,Playground,Casino,CAD,1,1700,1071,-629,-629,0,0,,,,2,5,0,0,0,0,25,,,,,,no,,no,0,0,0,,"JTcc i called from BB. flop comed 9TJ, i check UTG bets 30$ UTG+1 calls, i go 100$ UTG+1 shoved for 260$, utg+1 flats, i go all in for 700$ total. UTG+1 snaps with the nuts.",,[],[],[]
6798913,"2024-12-10 18:45:00","2024-12-11 01:57:00",0,432,"Cash Game","Texas Holdem","No Limit",Full-Ring,Playground,Casino,CAD,1,600,594,-6,-6,0,0,,,,1,3,0,0,0,0,25,,,,,,no,,no,0,0,0,,,,[],[],[]
6792939,"2024-12-09 19:15:00","2024-12-10 01:48:00",0,393,"Cash Game","Texas Holdem","No Limit",Full-Ring,Playground,Casino,CAD,1,400,424,24,24,0,0,,,,1,3,0,0,0,0,25,,,,,,no,,no,0,0,0,,,,[],[],[]
6747343,"2024-12-02 18:36:00","2024-12-02 23:47:00",0,311,"Cash Game","Texas Holdem","No Limit",Full-Ring,Playground,Casino,CAD,1,300,654,354,354,0,0,,,,1,3,0,0,0,0,25,,,,,,no,,no,0,0,0,,,,[],[],[]
6735415,"2024-11-30 12:50:00","2024-12-01 01:07:00",0,737,"Cash Game","Texas Holdem","No Limit",Full-Ring,Playground,Casino,CAD,1,400,1247,847,847,0,0,,,,1,3,0,0,0,0,25,,,,,,no,,no,0,0,0,,,,[],[],[]
6729409,"2024-11-29 12:55:00","2024-11-30 00:45:00",0,710,"Cash Game","Texas Holdem","No Limit",Full-Ring,Playground,Casino,CAD,1,600,707,107,107,0,0,,,,1,3,0,0,0,0,25,,,,,,no,,no,0,0,0,,,,[],[],[]
6723378,"2024-11-28 19:30:00","2024-11-29 00:47:00",0,317,"Cash Game","Texas Holdem","No Limit",Full-Ring,Playground,Casino,CAD,1,500,1317,817,817,0,0,,,,1,3,0,0,0,0,25,,,,,,no,,no,0,0,0,,,,[],[],[]
6718520,"2024-11-27 18:45:00","2024-11-28 00:21:00",0,336,"Cash Game","Texas Holdem","No Limit",Full-Ring,Playground,Casino,CAD,1,500,401,-99,-99,0,0,,,,1,3,0,0,0,0,25,,,,,,no,,no,0,0,0,,,,[],[],[]
